,기업명,장비 모델명,구성품,장치명,모델명,사양,제조사,제조국,표준 가격(원)
55,주식회사 큐빅스,QSM,옵 션 12,화재감지기,QWF1,화재 발생 감지(연기감지)-소방형식승인획득센서사용,(주)큐빅스,대한민국,0원
56,주식회사 큐빅스,QSM,옵 션 13,누수감지기,QWWL,누수여부 감지,(주)큐빅스,대한민국,0원
57,주식회사 큐빅스,QSM,옵 션 14,개폐감지기,QWOC,문 열림/닫힘 감지,(주)큐빅스,대한민국,0원
58,주식회사 큐빅스,QSM,옵 션 15,암모니아감지기,QWNH3,암모니아(NH3) 농도 측정,(주)큐빅스,대한민국,0원
59,주식회사 큐빅스,QSM,옵 션 16,고온측정기,QWTH2,고온 측정(500도까지),(주)큐빅스,대한민국,0원
60,주식회사 큐빅스,QSM,옵 션 17,온도측정기,QWTH1,온도측정(방수형),(주)큐빅스,대한민국,0원
61,주식회사 큐빅스,QSM,옵 션 18,기상관측기,QWWS,"온도,습도,조도,자외선,풍향,풍속,기압,강우량 측정",(주)큐빅스,대한민국,0원
62,주식회사 큐빅스,QSM,옵 션 19,차압측정기,QWDP,차압 측정,(주)큐빅스,대한민국,0원
63,주식회사 큐빅스,QSM,옵 션 20,수도밸브제어기,QWVC,수도배관  on/off 자동 제어,(주)큐빅스,대한민국,0원
64,그린씨에스(주),MAGMA1000V20,옵 션 1,일사센서,일사센서,0~2000W/㎡,다비스,미국,"880,000원"
65,그린씨에스(주),MAGMA1000V20,옵 션 2,pH센서,pH센서,0~14,코리아디지털,대한민국,"330,000원"
66,그린씨에스(주),MAGMA1000V20,옵 션 3,EC센서,EC센서,0~5,동도파워텍,대한민국,"330,000원"
67,그린씨에스(주),MAGMA1000V20,옵 션 4,NUF필터,NUF-1ton,재활용시스템,NUFfiltration,이스라엘,"29,700,000원"
68,그린씨에스(주),MAGMAPLUS-1000,옵 션 1,1구역추가,MAGMAPLUS,데이터로거&AD컨버터,그린씨에스(주),대한민국,"9,200,000원"
69,(주)우성하이텍,FS-50,옵 션 1,Growing Medium Environment Sensor Node,WSN-804A,무선통신모듈(zigbee),(주)우성하이텍,대한민국,"156,000원"
70,(주)우성하이텍,FS-50,옵 션 2,Moisture Sensor,STS-402,0~100%,(주)우성하이텍,대한민국,"234,000원"
71,(주)우성하이텍,FS-50,옵 션 3,현장제어반,FSMC-5000,주문사양,(주)우성하이텍,대한민국,"20,000,000원"
72,주식회사 디오비에스,RF-4528PL,옵 션 1,우적센서,DRC-3000,,태성기전,,"220,000원"
